account_id,call_day,priority,sched_day,time_from_base
CID-031,1.Monday,10.0,None,00:15
CID-038,1.Monday,9.0,None,00:30
CID-026,1.Monday,8.0,1.Monday,00:30
CID-020,1.Monday,8.0,None,00:45
CID-009,1.Monday,8.0,None,00:30
CID-001,1.Monday,7.0,None,00:15
CID-030,1.Monday,6.0,None,00:15
CID-042,2.Tuesday,10.0,2.Tuesday,00:30
CID-037,2.Tuesday,10.0,None,00:30
CID-023,2.Tuesday,10.0,None,00:15
CID-018,2.Tuesday,9.0,None,00:30
CID-033,2.Tuesday,9.0,None,00:15
CID-022,2.Tuesday,6.0,None,00:30
CID-024,2.Tuesday,6.0,None,00:15
CID-059,3.Wednesday,9.0,5.Friday,06:15
CID-058,3.Wednesday,9.0,None,06:30
CID-060,3.Wednesday,7.0,None,06:30
CID-053,3.Wednesday,7.0,None,06:30
CID-054,3.Wednesday,7.0,None,05:45
CID-047,4.Thursday,10.0,4.Thursday,04:00
CID-046,4.Thursday,9.0,4.Thursday,03:45
CID-064,4.Thursday,7.0,None,02:15
CID-039,5.Friday,10.0,None,00:30
CID-005,5.Friday,9.0,None,00:45
CID-006,5.Friday,9.0,None,00:30
CID-036,5.Friday,8.0,None,00:15
CID-008,5.Friday,7.0,None,00:30
CID-010,5.Friday,6.0,None,00:30
CID-050,Dropped,9.0,None,06:45
CID-071,Dropped,9.0,None,04:00
CID-051,Dropped,7.0,None,06:00
CID-063,Dropped,6.0,3.Wednesday,03:00
CID-062,Dropped,6.0,None,06:45
CID-066,Dropped,6.0,None,03:15
CID-069,Dropped,6.0,None,01:15
